spec,s2_reqs_per_s,s2_success,s2_failed,s3_token_rate,s3_admit_rate,s3_reserve_rate,s3_reserve_success,s3_reserve_failed,s3_token_failed,s3_admit_timeout,s3_admit_wait_p95_ms,s3_total_lat_p95_ms
a-1,546.8,39785,58237,235.9,235.9,147.2,27858,16784,1838,0,27009,35191
a-2,1148.7,49097,151725,389.8,389.8,208.9,37822,32743,42,0,8593,16520
a-3,1163.5,49121,151405,527.7,527.7,240.1,42172,50527,103,0,3887,11424
a-4,1185.0,49194,154849,590.4,590.4,244.5,44178,62505,0,0,3614,10192
a-5,954.3,48143,117045,584.7,584.7,250.0,43376,58085,0,0,4287,9640
b-1,582.2,42504,60217,349.0,349.0,196.0,35975,28101,15,0,9500,19310
b-2,793.0,46863,91689,464.5,464.5,227.4,40397,42117,216,0,4394,12397
b-3,1249.3,49344,167114,567.7,567.7,246.9,43068,55965,0,0,3012,10492
b-4,947.7,48125,114955,596.1,596.1,252.0,43748,59743,0,0,4011,9704
c-1,1121.2,48949,144970,608.8,608.8,253.3,44027,61785,0,0,3490,8961
c-2,1087.1,48871,139893,541.2,541.2,243.6,42400,51803,101,0,4880,12338
c-3,1178.9,49121,153899,565.9,565.9,244.9,43068,56439,0,0,3483,9743
c-4,1053.8,48723,133000,574.0,574.0,248.6,43204,56561,0,0,3985,10374
